#{"t_start": 1748019731.112538, "env_id": "None"}
r,l,t
-90.908622,20,42.833008
-91.51963,20,42.864772
-93.934477,19,42.894872
-92.882751,20,42.926705
-94.026977,19,42.95993
-90.072285,20,42.992037
-91.691074,20,43.021217
-88.268292,20,43.057027
-87.65029,20,43.086179
-88.522546,20,43.115833
-87.318215,20,43.14752
-90.984387,20,43.179956
-94.070788,19,43.210908
-91.427032,20,43.248894
-87.184142,20,43.285001
-92.021771,20,43.319255
-94.052773,19,43.364255
-88.096215,20,43.407332
-91.277891,20,43.454844
-92.004743,20,43.495337
-91.650468,20,46.728881
-90.099286,20,46.757857
-89.055446,20,46.78622
-88.392327,20,46.81379
-90.003174,20,46.844035
-89.682573,20,46.874645
-90.196788,20,46.901274
-87.524026,20,46.932521
-93.274496,20,46.967938
-90.333344,20,46.997957
-92.291262,20,47.024626
-93.995366,19,47.052677
-87.200723,20,47.085604
-87.627878,20,47.116207
-92.229839,20,47.146451
-91.140341,20,47.168178
-94.032853,19,47.195374
-91.472605,20,47.221779
-93.920821,19,47.245914
-89.13835,20,47.272566
-92.286379,20,47.302371
-87.206651,20,47.329804
-93.98867,19,47.357346
-90.957047,20,47.383882
-89.189931,20,47.414657
-88.626658,20,47.441147
-87.250963,20,47.469541
-89.972618,20,47.501013
-92.948679,20,47.52856
-91.596467,20,47.555723
-89.053751,20,47.58889
-92.903214,20,47.620473
-92.404991,20,47.665106
-93.425001,20,47.711233
-91.963105,20,47.738447
-88.359601,20,47.76569
-87.445967,20,47.793294
-89.595603,20,47.820982
-90.254231,20,47.855042
-89.651303,20,47.883996
-91.822871,20,47.912638
-91.458905,20,47.939213
-88.118928,20,47.968499
-88.93187,20,47.996401
-87.641486,20,48.028061
-93.367524,20,48.063287
-88.521803,20,48.095021
-93.321791,20,48.126266
-87.40894,20,48.155013
-90.867462,20,48.185009
-89.791034,20,48.214877
-94.051337,19,48.244199
-93.949322,19,48.270372
-87.855589,20,48.2988
-90.673747,20,48.324779
-90.667462,20,48.357904
-88.753096,20,48.38398
-91.639899,20,48.410774
-94.028362,19,48.436224
-91.355203,20,48.467755
-93.990717,19,48.493508
-87.288153,20,48.524979
-88.511899,20,48.551157
-94.023435,19,48.575506
-92.704884,20,48.604653
-93.37161,20,48.630596
-87.228294,20,48.660409
-92.137089,20,48.69147
-87.201163,20,48.719796
-91.939908,20,48.749535
-93.078582,20,48.775662
-89.399032,20,48.802662
-92.712877,20,48.82843
-88.490336,20,48.858676
-94.047186,19,48.886497
-88.421688,20,48.912592
-87.188982,20,48.939296
-93.885682,19,48.963299
-87.293438,20,48.988837
-89.699179,20,49.01323
-89.689571,20,49.03802
-91.746784,20,49.173539
-87.29084,20,49.21082
-90.054268,20,49.246173
-87.436833,20,49.287981
-94.064905,19,49.333817
-87.28209,20,49.377381
-89.128365,20,49.40653
-88.876452,20,49.434653
-91.156848,20,49.466894
-88.525806,20,49.492973
-94.140529,19,49.517781
-93.957639,19,49.54698
-94.130748,19,49.576858
-92.538648,20,49.604289
-93.98595,19,49.634416
-94.047262,19,49.663101
-87.279369,20,49.69165
-89.944917,20,49.717989
-88.758775,20,49.751302
-93.215403,20,49.786538
-87.13347,20,49.813257
-87.359195,20,49.847001
-88.887251,20,49.878411
-87.400273,20,52.846131
-87.532469,20,52.880605
-88.920655,20,52.910704
-88.22633,20,52.945742
-89.322225,20,52.97468
-94.055411,19,53.003018
-94.00665,19,53.027147
-93.963211,19,53.052594
-91.05166,20,53.083394
-94.192067,19,53.109623
-87.22312,20,53.134834
-91.457802,20,53.164608
-91.812765,20,53.191892
-87.197071,20,53.217369
-94.050677,19,53.244639
-89.045826,20,53.268391
-94.055413,19,53.292681
-91.453171,20,53.318799
-92.447156,20,53.353023
-93.079112,20,53.380814
-90.095702,20,53.409533
-92.894207,20,53.437441
-90.308337,20,53.462692
-87.261444,20,53.488795
-88.944096,20,53.517528
-90.444849,20,53.538878
-92.688855,20,53.562856
-90.883665,20,53.589197
-88.236008,20,53.614887
-87.905716,20,53.645396
-87.798126,20,53.674765
-90.317036,20,53.70312
-93.96466,19,53.72726
-87.174611,20,53.761696
-92.641357,20,53.788896
-88.724198,20,53.819524
-87.288094,20,53.854051
-89.642241,20,53.890698
-91.308613,20,53.928568
-94.088344,19,53.970389
-87.455068,20,54.000897
-94.094708,19,54.02754
-94.009688,19,54.054657
-88.180164,20,54.082415
-90.607193,20,54.112944
-93.997923,19,54.141151
-87.407882,20,54.167615
-89.207588,20,54.192801
-93.99919,19,54.217042
-91.419106,20,54.244935
-93.040198,20,54.280546
-93.918318,19,54.307548
-91.521177,20,54.333284
-92.128522,20,54.368043
-91.099394,20,54.396721
-88.492604,20,54.427244
-87.307511,20,54.451686
-88.798008,20,54.480728
-87.283532,20,54.504639
-90.456234,20,54.527615
-88.276058,20,54.55651
-87.592606,20,54.586583
-94.145826,19,54.616559
-87.273484,20,54.644574
-89.748002,20,54.675577
-94.032201,19,54.704083
-94.085745,19,54.730794
-90.721473,20,54.759926
-91.44057,20,54.787684
-90.656744,20,54.812923
-88.882541,20,54.84305
-87.745719,20,54.876036
-91.603683,20,54.900503
-91.261515,20,54.927923
-92.114015,20,54.954879
-87.505459,20,54.981029
-87.392752,20,55.004449
-89.454933,20,55.029907
-87.491204,20,55.064891
-91.73237,20,55.100207
-87.37641,20,55.129751
-90.274132,20,55.160259
-94.021011,19,55.185219
-92.801575,20,55.210549
-89.971817,20,55.239185
